['Cl[Cu]O[Cu]O[Cu]Cl'], 0.0
['[In]'], 0.002421307506053269
['[O][Zn][Zn][O]'], 0.004842615012106538
['[Mn]'], 0.007263922518159807
['[Cu][Cu]'], 0.009685230024213076
['[O][Cu][Cu][O]'], 0.012106537530266345
['[OH3][Cu][Cu][OH3]'], 0.014527845036319613
['O1[Zn]23[O]1(O2)O3', '[O]12[O]3456[O]7891[O]1%10%1123[O]4[O]68%10([Zn]571)[O]9%11', '[O][Zn][Zn][O]'], 0.01694915254237288
['[Co]'], 0.01937046004842615
['[OH2][Zn]'], 0.02179176755447942
['[Cd]'], 0.02421307506053269
['[Cu]'], 0.026634382566585957
['[K]'], 0.029055690072639227
['[O][K]1O[K](O1)[O]'], 0.031476997578692496
['[O][Co][O]1[Co]23O[Co]45[O]2[O]2[Co]61O[Co]2([O]6[O]34)[O]5[Co][O]'], 0.03389830508474576
['[Zn]'], 0.036319612590799036
['[Dy]'], 0.0387409200968523
['[Ag]'], 0.04116222760290557
['[Ag][Ag]'], 0.04358353510895884
['[Tb]'], 0.04600484261501211
['[Eu]'], 0.04842615012106538
['[OH2][Ni][OH2][Ni][OH2]'], 0.05084745762711865
['[OH2][Co][OH2]12([Co]3[O]4[Co]1[O]34)[Co]1[O]3[Co]2[O]13', '[OH2][Co][OH4]12([Co]3[O]4[Co]1[O]34)[Co]1[O]3[Co]2[O]13', '[OH4][Co][OH2]12([Co]3[O]4[Co]1[O]34)[Co]1[O]3[Co]2[O]13', '[OH4][Co][OH3]12([Co]3[O]4[Co]1[O]34)[Co]1[O]3[Co]2[O]13', '[OH4][Co][OH4]12([Co]3[O]4[Co]1[O]34)[Co]1[O]3[Co]2[O]13'], 0.053268765133171914
['[O]12[O]3[Zr]4561[Zr]178923[O]234[Zr]4%10%11%12%138[O]8%149[Zr]9%15%16%17%18%19[O]%2051[Zr]15%21%22[O]%23%2467[Zr]67%252[Zr]2%26%273%23([O]3%23%12[Zr]%12%118([O]4[O]%10%12)[O]48%13%15[Zr]%10%14%16([O]%11%12%17[Zr]%139%201%24([O]5%25%26[Zr]15%2734%11[Zr]3%238%12[O]1[O]53)[O]%21[O]%22%13)[O]%18[O]%19%10)[O]6[O]72'], 0.05569007263922519
['O1[Zr]2345[Zr]6781[O]19%102[Zr]2%11%12%13[O]%14%1558[Zr]512(O%11)[O]128%12[Zr]%11%12%16%14[O]%14%1747[Zr]47%18%19[O]%20%2136[Zr]36%229[Zr]9%10%20([O]%10%1353[Zr]35%132[O]27%229[Zr]%144%21(O%18)[O]%12%193([Zr]%151%11%17O%16)[Zr]8%1052O%13)O6'], 0.05811138014527845
['[O][Zr]123([O])[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([O])[O])([O])[O])([O])[O]'], 0.06053268765133172
['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'], 0.06295399515738499
['[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]19[O]%106[Zr]69%10351[O]13[O]56[Zr]6%17%18%191([O]1%13[O]%146[Zr]6%13%14%11%121[O]17[O]86[Zr]624351[O]%17%13[O]%18%146)[O]%159[O]%16%10%19', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14241[O]12[O]46[Zr]6%15%16%17%181[O]1%19[O]%206[Zr]6%21%22%231([O]17[O]86[Zr]6%11%12%19%201[O]%13%15[O]%14%166)[O]19[O]%10%21[Zr]635241[O]%17%22[O]%18%236'], 0.06537530266343826
['[Na]'], 0.06779661016949153
['O1[O]2[Li]1[O]1[Li]2O1', '[In]'], 0.07021791767554479
['Cl[Cu]', '[Cu]', '[O][Cu]', '[O][Cu]Cl'], 0.07263922518159807
['[O]12[Zr]34567[O]89[Zr]%10%11%12%132[O]38[Zr]238%149[O]94[O]52[Zr]245%159[O]96[Zr]6%16%171([O]729)[O]14[O]56[Zr]241([O]%10%16[O]%11%172)([O]%123[O]%1384)[O]%14%15'], 0.07506053268765134
['[OH2][Zr]123[O]4[Zr]56([O]3[Zr]37([O]2[Zr]28([O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)[OH2])[OH2])[OH2])[OH2])[OH2]'], 0.0774818401937046
['I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I'], 0.07990314769975787
['[O][Eu]'], 0.08232445520581114
['[OH2][Eu]'], 0.08474576271186442
['[Ni]'], 0.08716707021791768
['[OH2][Cu][Cu][OH2]'], 0.08958837772397095
['[OH2][Sm]([OH2])[OH2]', '[Sm]'], 0.09200968523002422
['[Zn][OH][Zn]'], 0.09443099273607748
['[Mn]', '[O][Mn]([O])[O]'], 0.09685230024213076
['[Zn]', '[Zn]O[Zn]'], 0.09927360774818403
['[O][La]([O])([O])[O]'], 0.1016949152542373
['[O][Ce]([O])([O])[O]'], 0.10411622276029056
['[Zn][O]([Zn])([Zn])[Zn]'], 0.10653753026634383
['[Fe]', '[OH]'], 0.1089588377723971
['[Fe]'], 0.11138014527845037
['[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25%11%121([O]%15%19[OH]%16%206)[O]19[OH]%10%25[Zr]624%23%241[O]1%21[OH]%226[Zr]235%17%181[O]7%13[OH]8%142', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25%11%121([O]17[OH]86[Zr]635%23%241[O]1%21[OH]%226[Zr]324%17%181[O]9%15[OH]%10%163)[O]%13%19[OH]%14%20%25', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25%11%121([O]19[OH]%106[Zr]635%23%241[O]1%21[OH]%226[Zr]324%17%181[O]7%13[OH]8%143)[O]%15%19[OH]%16%20%25', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25%261([O]7%13[OH]8%146)([O]%15%19[OH]%16%20%25)[O]19[OH]%10%26[Zr]624%23%241[O]1%21[OH]%226[Zr]35%11%12%17%181', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25241([O]17[OH]86[Zr]2%11%12%23%241[O]%13%19[OH]%14%202)[O]1%21[OH]%22%25[Zr]235%17%181[O]9%15[OH]%10%162', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19241([O]7%13[OH]8%146)[O]12[OH]4%19[Zr]678351[O]13[OH]56[Zr]6%13%11%121([O]1%15[OH]%166[Zr]%17%1824351)[O]97[OH]%108%13', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19351([O]7%13[OH]8%146)[O]13[OH]5%19[Zr]678241[O]12[OH]46[Zr]6%13%11%121([O]97[OH]%1086)[O]1%15[OH]%16%13[Zr]%17%1835241', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19351([O]9%15[OH]%10%166)[O]13[OH]5%19[Zr]69%10241[O]12[OH]46[Zr]6%15%11%121([O]79[OH]8%106)[O]1%13[OH]%14%15[Zr]%17%1835241'], 0.11380145278450364
['Cl[Pd](Cl)(Cl)Cl', '[OH4][Fe][O]([Fe][OH4])[Fe][OH4]'], 0.1162227602905569
['[Gd]'], 0.11864406779661017
['[O][U][O]'], 0.12106537530266344
['[Cu][Cu]', '[Fe]'], 0.12348668280871672
['[O][Cr][O]([Cr][O])[Cr][O]'], 0.12590799031476999
['[Zn][O]1[Zn][O]([Zn]1)[Zn]'], 0.12832929782082325
