cifname,mofid,mofkey,simples_nodes,simples_linkers,simples,topology,cat,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,_symmetry_space_group_name_Hall
1100140,Cl[Cu]O[Cu]O[Cu]Cl.O=[C]1=NC=CC=N1.n1ccc(cc1)c1ccncc1 MOFid-v1.hxl.cat1,Cu.BSACTHHIMKWVLX.MWVTWFVJZLCBMC.MOFkey-v1.hxl,['Cl[Cu]O[Cu]O[Cu]Cl'],"['O=[C]1=NC=CC=N1', 'n1ccc(cc1)c1ccncc1']",Cl[Cu]O[Cu]O[Cu]Cl.O=[C]1=NC=CC=N1.n1ccc(cc1)c1ccncc1,hxl,1.0,17.076,19.341,13.481,90.0,90.0,90.0,4452.3,P 2 -2n
1100722,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.acs.cat0,Fe.KKEYFWRCBNTPAC.MOFkey-v1.acs,['[Fe][O]([Fe])[Fe]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-],acs,0.0,12.531,12.531,18.476,90.0,90.0,120.0,2512.5,P -6c -2c
1501627,[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-] MOFid-v1.sql.cat1,In.GZJYHAYPVZNUJX.MOFkey-v1.sql,['[In]'],['[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]'],[In].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-],sql,1.0,9.9532,9.9532,26.7005,90.0,90.0,90.0,2645.12,-P 4c 2
1501629,"[In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.pts,tfi.cat0",In.TYPODEXFRPHZNH.MOFkey-v1.pts,['[In]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[In].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1c(F)c(F)c(c(c1F)F)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],"pts,tfi",0.0,19.807,19.807,53.454,90.0,90.0,90.0,20971.0,-I 4bd 2c
1501771,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Zn][Zn][O] MOFid-v1.tbo.cat0,Zn.QMKYBPDZANOJGF.MOFkey-v1.tbo,['[O][Zn][Zn][O]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O][Zn][Zn][O],tbo,0.0,26.4461,26.4461,26.4461,90.0,90.0,90.0,18496.3,-F 4 2 3
1507930,COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Cu][Cu][OH2] MOFid-v1.kgm.cat0,Cu.QMKYBPDZANOJGF.STBOKQUWWUFPAZ.MOFkey-v1.kgm,['[OH2][Cu][Cu][OH2]'],"['COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]']",COC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Cu][Cu][OH2],kgm,0.0,18.65,18.65,6.8329,90.0,90.0,120.0,2058.2,"-P 3 2"""
1508061,[C][Mn]1([C])([C])([C])N2C=C(C=CC2=C2N1C=C(C=C2)C(=O)[O-])C(=O)[O-].[Mn].[O-]C(=O)C1=CC=C2N([CH]1)[Mn]([C])([C])([C])([C])N1[C]2C=CC(=C1)C(=O)[O-] MOFid-v1.dmd.cat0,Mn.ZLUYCXSNLVSTMY.MOFkey-v1.dmd,['[Mn]'],"['[C][Mn]1([C])([C])([C])N2C=C(C=CC2=C2N1C=C(C=C2)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C1=CC=C2N([CH]1)[Mn]([C])([C])([C])([C])N1[C]2C=CC(=C1)C(=O)[O-]']",[C][Mn]1([C])([C])([C])N2C=C(C=CC2=C2N1C=C(C=C2)C(=O)[O-])C(=O)[O-].[Mn].[O-]C(=O)C1=CC=C2N([CH]1)[Mn]([C])([C])([C])([C])N1[C]2C=CC(=C1)C(=O)[O-],dmd,0.0,9.062,25.6,9.618,90.0,90.0,90.0,2231.3,-P 2a 2bc
1508086,"[Cu][Cu].[O-]C(=O)c1cc(O[C]2[C][C][C]2)c(c2c1cc(cc2)C(=O)[O-])c1c(O[C]2[C][C][C]2)cc(c2c1ccc(c2)C(=O)[O-])C(=O)[O-] MOFid-v1.wbl,lqm.cat0",Cu.UHUVUHFOFVUDDW.MOFkey-v1.wbl,['[Cu][Cu]'],['[O-]C(=O)c1cc(O[C]2[C][C][C]2)c(c2c1cc(cc2)C(=O)[O-])c1c(O[C]2[C][C][C]2)cc(c2c1ccc(c2)C(=O)[O-])C(=O)[O-]'],[Cu][Cu].[O-]C(=O)c1cc(O[C]2[C][C][C]2)c(c2c1cc(cc2)C(=O)[O-])c1c(O[C]2[C][C][C]2)cc(c2c1ccc(c2)C(=O)[O-])C(=O)[O-],"wbl,lqm",0.0,15.7125,15.7125,47.3137,90.0,90.0,90.0,11680.9,I 4bw 2bw
1508087,"CCOc1cc(C=CC(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)C=CC(=O)[O-])C=CC(=O)[O-])ccc(c2)C=CC(=O)[O-].[O][Cu][Cu][O] MOFid-v1.wbl,lqm.cat0",Cu.IWXJJAIIDFMFKI.MOFkey-v1.wbl,['[O][Cu][Cu][O]'],['CCOc1cc(C=CC(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)C=CC(=O)[O-])C=CC(=O)[O-])ccc(c2)C=CC(=O)[O-]'],CCOc1cc(C=CC(=O)[O-])c2c(c1c1c(OCC)cc(c3c1ccc(c3)C=CC(=O)[O-])C=CC(=O)[O-])ccc(c2)C=CC(=O)[O-].[O][Cu][Cu][O],"wbl,lqm",0.0,21.4169,21.4169,57.6768,90.0,90.0,90.0,26455.4,I 4bw 2bw
1508088,"[O-]C(=O)C=Cc1cc([O])c(c2c1cc(C=CC(=O)[O-])cc2)c1c([O])cc(c2c1ccc(c2)C=CC(=O)[O-])C=CC(=O)[O-].[O][Cu][Cu][O] MOFid-v1.wbl,lqm.cat0",Cu.MYCOIKBSLFNJEL.MOFkey-v1.wbl,['[O][Cu][Cu][O]'],['[O-]C(=O)C=Cc1cc([O])c(c2c1cc(C=CC(=O)[O-])cc2)c1c([O])cc(c2c1ccc(c2)C=CC(=O)[O-])C=CC(=O)[O-]'],[O-]C(=O)C=Cc1cc([O])c(c2c1cc(C=CC(=O)[O-])cc2)c1c([O])cc(c2c1ccc(c2)C=CC(=O)[O-])C=CC(=O)[O-].[O][Cu][Cu][O],"wbl,lqm",0.0,21.049,21.049,57.878,90.0,90.0,90.0,25643.0,I 4bw 2bw
1508089,"Oc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(O)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[O][Cu][Cu][O] MOFid-v1.wbl,lqm.cat0",Cu.NYAGQNINVLQJED.MOFkey-v1.wbl,['[O][Cu][Cu][O]'],['Oc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(O)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-]'],Oc1cc(c2ccc(cc2)C(=O)[O-])c2c(c1c1c(O)cc(c3c1ccc(c3)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])ccc(c2)c1ccc(cc1)C(=O)[O-].[O][Cu][Cu][O],"wbl,lqm",0.0,23.849,23.849,73.11,90.0,90.0,90.0,41583.0,I 4bw 2bw
