O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat3;4514258,Zn.UNYWGCRIKOLEDS.MOFkey-v1.sql,['[Zn][Zn]'],['O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-]'],O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn],sql,3,4514258
O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat1;4514259,Zn.UNYWGCRIKOLEDS.MOFkey-v1.sql,['[Zn][Zn]'],['O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-]'],O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn],sql,1,4514259
O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)CCc1ccncc1 MOFid-v1.pcu.cat1;4514260,Zn.DQRKTVIJNCVZAX.UNYWGCRIKOLEDS.MOFkey-v1.pcu,['[Zn][Zn]'],"['O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)CCc1ccncc1']",O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)CCc1ccncc1,pcu,1,4514260
[Co].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-] MOFid-v1.ERROR.cat3;4514261,Co.YCIDFVDEIMPTRS.MOFkey-v1.ERROR,['[Co]'],"['[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-]', '[O-]C(=O)C1=N[C]N=C1C(=O)[O-]']",[Co].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-],ERROR,3,4514261
[Co].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-] MOFid-v1.ERROR.cat3;4514262,Co.YCIDFVDEIMPTRS.MOFkey-v1.ERROR,['[Co]'],"['[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-]', '[O-]C(=O)C1=N[C]N=C1C(=O)[O-]']",[Co].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-],ERROR,3,4514262
[C][C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])[C].[C][C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])[C].[Co] MOFid-v1.ERROR.cat3;4514263,Co.LKVNNGYADIFYAW.MOFkey-v1.ERROR,['[Co]'],"['[C][C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])[C]', '[C][C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])[C]']",[C][C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])[C].[C][C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])[C].[Co],ERROR,3,4514263
C[C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])C.C[C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])C.[Co] MOFid-v1.ERROR.cat3;4514264,Co.UNWDPSFCQWZVKC.MOFkey-v1.ERROR,['[Co]'],"['C[C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])C', 'C[C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])C']",C[C](C1=NC(=C([N]1)C(=O)[O-])C(=O)[O-])C.C[C](C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-])C.[Co],ERROR,3,4514264
[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.UNKNOWN.cat1;4514303,Co.CBMYFVSIIYILRH.NEQFBGHQPUXOFH.MOFkey-v1.UNKNOWN,['[Co]'],"['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]', 'n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1']",[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,UNKNOWN,1,4514303
[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)c1ccncc1.[Zn] MOFid-v1.sql.cat1;4514309,Zn.QMKYBPDZANOJGF.RFMOMNVTEUQVTF.MOFkey-v1.sql,['[Zn]'],"['[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)c1ccncc1']",[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)N1[CH]C=C(C=C1)c1ccncc1.[Zn],sql,1,4514309
[Mn].[O-]C(=O)CN1[CH]C(=CC(=C1)C(=O)[O-])C(=O)[O-].[OH2][Mn].[OH2][Mn][OH2] MOFid-v1.ERROR.cat0;4514311,Mn.BFTAUFCSHOETSL.MOFkey-v1.ERROR,"['[Mn]', '[OH2][Mn]', '[OH2][Mn][OH2]']",['[O-]C(=O)CN1[CH]C(=CC(=C1)C(=O)[O-])C(=O)[O-]'],[Mn].[O-]C(=O)CN1[CH]C(=CC(=C1)C(=O)[O-])C(=O)[O-].[OH2][Mn].[OH2][Mn][OH2],ERROR,0,4514311
